arrive_time,input_tokens_length,output_tokens_length
4.576989,4,91
4.954014,2,100
7.019226,102,1199
7.878743,33,861
9.308387,7,38
17.597423,2,56
18.679726,26,118
21.037836,2,47
22.318214,15,102
22.711087,37,1228
22.750362,25,459
25.869834,2,74
26.061093,3,153
26.453591,32,101
28.279687,3,302
29.026537,6,201
30.250353,20,413
31.501805,1292,3026
31.550124,15,415
35.963217,3,40
44.075143,8,115
45.444270,5,76
46.270388,24,100
50.811866,12,558
51.884182,10,138
53.831081,5,133
57.968804,7,161
58.830328,3,158
62.681863,3,50
64.968462,1,31
67.021284,1,48
70.552451,3,45
70.581687,4,63
71.328331,4,557
71.779428,180,3277
72.436706,50,64
73.281135,5,117
73.796019,2,91
74.988523,44,1257
75.694424,275,2140
76.816309,1,25
78.117972,10,123
78.660071,20,344
80.600487,2,90
82.952122,25,79
86.067558,60,758
86.526900,13,449
88.510902,3,87
91.254842,7,91
91.350164,9,318
92.490767,25,192
94.392101,10,58
94.987354,3,425
98.664293,5,23
101.254696,4,52
101.634197,4,57
102.827777,610,2593
109.533640,10,90
111.129419,4,203
113.973261,18,126
118.920971,10,255
120.106774,2,53
120.300897,3,84
120.797067,9,8
122.123763,4,82
123.297366,126,293
124.919784,9,90
127.557151,2,33
130.597800,2,43
132.730254,4,53
138.450965,13,330
145.681189,3,1
148.291357,33,568
152.184664,11,93
153.214932,6,129
153.503402,4,682
155.186750,11,77
160.367369,3,47
160.687400,7,136
161.563539,47,142
163.559883,8,205
164.708498,5,583
164.815664,2,36
173.126103,44,843
174.680269,6,225
175.264533,3,64
176.260019,1,12
176.318948,9,230
177.929112,2,73
181.220826,1,73
182.834954,6,209
185.804863,12,3
187.155866,4,153
190.069502,15,994
191.483517,5,360
193.528423,9,65
197.373443,26,250
206.157423,6,735
207.233557,8,152
214.123946,4,72
214.348039,8,77
216.165077,3,96
217.570128,1,75
219.295901,9,7
222.989912,4,79
223.977595,22,31
232.380462,26,542
233.968542,9,183
236.892410,9,532
238.671258,10,106
240.145438,14,47
241.296062,3,68
241.344813,46,229
249.202645,14,101
251.286110,7,123
256.806011,13,88
264.893868,9,170
267.992283,4,78
268.950641,10,40
270.219035,10,56
270.418374,109,2228
275.158953,6,27
277.509989,9,132
283.005172,6,58
287.851362,17,301
287.933463,17,160
291.463136,1,2
291.755072,2,51
291.907928,2,64
294.180871,2,49
295.398142,21,376
298.549256,1,20
305.090845,57,101
306.191226,9,716
308.038749,33,1040
308.045002,4,36
308.507311,53,2010
310.749868,20,319
310.774866,10,302
312.870785,28,71
314.856082,9,45
315.050702,3,36
320.250968,1,76
323.154198,1,59
327.947936,41,770
328.280355,2,35
331.086751,14,163
331.927365,2,51
338.018241,37,923
339.347250,14,93
341.275321,7,105
341.926964,3,46
343.213739,3,112
346.001269,13,93
348.127235,50,240
348.155244,3,19
348.226938,5,257
349.451686,13,605
352.465052,2,42
354.332971,2,200
354.734028,2,40
357.980589,36,546
364.726029,3,123
365.546915,12,745
366.847758,92,613
368.026369,23,94
368.720982,1,31
369.571769,2,3
370.286838,2,71
370.692139,3,11
370.811794,176,2220
371.486339,15,102
375.827544,12,169
376.604672,3,58
377.144657,36,233
380.253966,5,60
381.288759,40,162
384.151481,9,10
