arrive_time,input_tokens_length,output_tokens_length
0.311173,5,73
0.883357,2,33
1.327093,24,19
1.855771,2,105
3.632467,6,90
3.667247,1,86
5.854190,2,49
6.192276,1,95
6.524173,7,46
7.655843,6,41
9.618724,87,195
10.435959,11,40
10.712442,2,133
10.821669,2,22
11.361755,3,33
11.438980,6,41
13.343974,4,55
13.690956,3,62
14.983481,20,109
16.620096,33,140
17.478315,1,13
18.801619,2,33
19.636126,6,33
20.061211,4,150
21.320959,3,221
22.488689,4,29
22.641519,187,1495
24.059779,8,85
24.509496,7,170
27.191924,2,27
29.040932,3,126
29.763259,3,106
30.699527,2,30
30.841196,38,787
31.515526,2,91
32.100167,5,329
32.560349,5,82
33.174310,15,199
37.320471,3,454
37.470986,214,545
37.561090,2,64
38.161458,1,42
38.562195,2,121
39.599171,11,2
39.879960,7,420
41.817595,12,219
43.459874,39,135
43.667565,82,1900
43.802291,2,37
44.934649,5,158
44.968424,4,75
45.274730,7,352
47.283681,6,316
47.420455,4,136
48.281837,32,949
48.905148,66,2000
52.230698,2,63
52.686930,8,383
54.382676,10,702
56.741955,13,42
56.905353,3,23
57.555048,62,516
58.299797,4,58
58.941782,5,173
60.687525,22,353
60.738494,9,2791
61.008007,7,432
61.219417,11,403
61.307353,8,61
61.566533,30,206
61.947134,53,669
62.339078,2,96
62.370245,24,739
63.097984,5,175
63.270931,5,36
63.799722,7,25
64.452780,3,223
65.357108,33,530
65.833916,31,603
65.920112,3,20
65.931965,7,20
66.430764,10,471
68.017072,7,223
71.516875,52,459
72.829365,2,149
73.272304,6,18
75.947296,3,56
78.344762,24,59
79.797706,107,254
82.264730,7,59
83.639035,6,215
84.383890,7,65
85.933180,2,58
86.927678,24,96
89.220959,3,90
89.466725,6,37
89.616753,6,37
90.226077,2,29
90.346741,6,207
90.970560,9,274
92.105029,3,92
94.011087,85,328
97.510549,13,299
97.889692,13,414
98.371632,2,62
98.809318,3,72
98.856006,16,639
99.029294,3,236
99.135702,309,1135
99.959067,33,455
100.519264,14,18
103.327892,6,263
103.356235,30,26
103.674764,1,62
104.179934,3,134
105.090422,5,155
105.352675,66,463
105.727128,2,30
105.993604,2,91
107.144459,42,186
107.407647,4,416
108.650071,15,187
109.898526,8,340
110.658756,10,169
111.024019,16,38
111.141312,2,26
111.707006,22,93
112.829899,9,123
122.348019,7,85
122.721132,8,92
122.864600,2,110
122.955439,19,40
125.173356,16,119
125.859793,2,63
126.212855,6,69
126.799093,305,677
127.205736,1,148
127.759430,2,39
128.733828,80,554
128.988903,1,90
130.337567,49,768
131.916565,8,267
132.061268,22,87
132.218953,37,784
132.785307,3,67
134.145099,2,110
134.593613,3,126
139.731363,142,135
141.376708,26,828
141.430739,48,317
142.306995,100,321
143.632602,2,226
143.769004,5,66
145.657925,4,94
145.903632,13,139
146.136854,48,110
147.077593,2,34
147.143826,10,120
148.187818,33,851
148.468100,5,108
148.707141,18,115
149.911532,18,149
150.595442,9,183
151.863190,130,223
152.646886,5,48
154.789347,3,37
156.381386,44,623
156.872608,59,1228
157.918546,8,336
158.040995,21,245
159.245738,3,104
159.362169,17,742
159.380392,455,2358
159.895614,9,117
160.331073,9,154
161.467481,13,539
161.552768,27,75
163.844186,2,124
165.677447,4,31
168.450003,2,45
168.550031,10,105
168.979095,6,883
169.166660,21,228
169.412087,49,914
169.995031,2,1
170.301476,2,69
170.551098,19,353
170.995705,35,630
171.759046,5,54
171.944035,3,112
172.349478,2,25
172.978515,29,391
175.044693,3,40
175.812426,9,100
178.578851,6,39
181.568590,1,51
181.785024,15,138
181.882040,6,4
184.829818,32,621
187.254150,34,393
191.402588,4,15
192.830339,3,71
192.936748,1,21
193.883584,280,156
194.636491,2,47
196.385567,9,197
196.601114,5,153
196.791435,7,310
197.641459,11,41
197.772500,3,183
197.915257,50,226
200.230131,1,61
202.964174,4,88
205.030100,4,44
206.339114,4,79
206.732457,5,197
207.135713,8,461
209.008358,148,398
212.509087,18,133
212.514089,7,20
217.351342,14,26
217.563711,4,50
219.328455,4,160
219.569459,4,38
220.022531,2,71
221.053886,4,78
221.332167,59,66
223.764657,73,243
223.918977,12,281
223.988610,5,93
227.192998,4,55
228.842620,6,77
229.313863,5,191
229.954154,6,68
231.043951,62,470
232.653342,3,54
233.127818,8,183
234.148851,9,83
234.464954,7,58
234.498681,3,59
236.310283,4,31
236.420160,3,77
236.440887,4,38
238.627463,24,548
240.933889,3,61
241.530109,2,48
242.341774,2,98
242.787874,7,42
243.319338,15,236
243.596362,5,48
243.841692,13,364
244.255857,287,2606
246.048795,2,78
249.254029,4,103
250.866707,2,54
252.095293,14,736
252.747358,8,812
253.085606,9,76
254.089703,2,60
254.157182,234,1127
258.019043,8,32
259.253223,2,62
261.357782,8,129
261.370859,4,67
261.476156,21,454
262.899839,4,109
262.927189,2,30
263.694498,3,93
263.948976,57,1242
264.324026,15,52
265.571985,5,154
265.844930,60,220
266.222918,20,343
267.185480,5,51
267.360426,2,77
268.580214,18,52
270.465066,3,40
272.856970,9,28
273.609543,3,162
273.861240,1,43
274.044217,67,1542
274.224203,18,74
274.258522,2593,3277
275.606873,3,91
276.276238,3,144
278.464769,8,304
278.592337,11,304
281.637403,4,104
282.212299,6,90
282.329488,2,152
282.348212,17,63
282.569036,9,128
284.466522,3,71
284.686960,7,247
285.914688,13,128
285.995657,161,625
286.578748,7,331
287.559938,224,40
289.308665,13,142
290.385677,58,452
290.431892,1,82
291.937273,9,102
291.942699,4,902
292.141169,54,89
294.543700,14,111
295.794097,13,199
296.964577,2,3
297.661438,64,352
298.873525,25,671
299.073979,3,15
299.844291,8,22
300.288308,19,272
300.683094,108,1246
301.750088,28,194
302.039433,2,43
302.997915,3,63
303.521636,2,71
308.463337,3128,108
308.730273,2,10
308.803431,2,60
311.019449,2,14
314.434027,2,49
315.558816,3,155
315.605176,2,6
315.623507,12,140
315.731684,135,1580
317.848842,25,370
321.371937,4,55
321.525461,4,204
321.700353,181,1478
321.917657,4,49
323.863815,56,348
324.843354,8,163
325.771813,71,883
325.781379,2,51
326.391263,4,82
327.062041,1,47
327.333193,3,55
327.379255,5,60
328.438295,19,793
329.464743,2,73
329.826721,10,439
331.602946,5,86
333.244269,6,115
334.560154,7,319
335.194321,4,194
340.028852,6,212
340.324077,153,3277
340.971658,3,109
342.925470,43,131
344.355058,5,107
345.047613,2,23
345.974344,3,1
347.643834,4,72
348.264143,39,1370
348.387893,2,93
348.638030,2,171
349.436066,3,53
349.489165,3,41
350.563556,5,74
350.648768,37,84
351.066869,20,24
352.101106,2,98
352.294239,24,97
353.023426,5,177
358.609232,1,46
358.678081,9,198
359.660133,1,131
360.739078,5,548
361.840280,13,531
364.828773,3,53
366.092784,1,5
369.414299,2,44
370.115479,8,183
370.844872,6,189
374.505795,22,318
375.450834,1,80
375.789127,82,399
377.269258,3,95
378.291062,8,12
379.602320,5,91
380.544525,11,1789
382.432991,17,296
382.926887,6,52
383.121937,9,86
383.376888,1,152
384.663270,13,1493
385.670350,5,217
388.782986,10,162
389.551789,174,617
389.878472,48,923
394.211289,3,46
396.837354,129,319
398.586967,13,252
400.935019,11,650
401.473680,2,45
401.779919,5,36
402.195576,2,90
404.469772,2,34
406.012956,13,233
406.077201,13,540
407.265862,27,432
