arrive_time,input_tokens_length,output_tokens_length
3.705184,2,77
3.785312,6,120
4.419194,155,1123
4.746853,65,1397
5.321454,8,16
5.486428,3,59
6.502244,2,68
7.454726,42,461
7.754563,5,41
7.897610,3,281
8.406191,4,282
9.015393,51,504
9.637009,13,57
10.220412,3277,29
10.347457,1,31
10.952976,18,115
11.360433,1661,1344
12.831515,4,97
12.832291,47,920
12.915810,38,166
13.309233,2,176
13.903479,18,305
14.393425,8,112
15.215536,5,49
15.406558,6,16
15.734184,34,342
16.122221,5,52
16.911025,43,986
18.581806,3,33
19.312175,40,63
19.344957,1,45
19.712761,14,51
20.247413,5,30
20.326158,5,100
20.467906,15,561
21.020707,20,482
21.410258,8,186
22.618196,2,94
23.639561,5,111
25.107055,20,918
25.211861,2,115
26.269325,5,44
26.359226,18,406
26.443338,5,30
26.672656,4,106
26.791692,1,64
27.664559,3,56
27.731348,2,79
28.792046,2,106
29.024365,10,35
30.100816,2,56
30.582247,6,124
31.296433,1,79
31.334846,9,101
32.298960,1,71
32.593761,2,74
32.703037,3,38
32.978590,10,167
33.323328,23,492
33.522192,9,44
34.015896,3,13
35.140643,2,72
35.529875,1,43
35.643373,176,139
36.006144,10,152
36.253379,58,1573
36.322105,5,94
36.482213,11,71
36.796243,7,137
37.383405,5,80
38.715832,6,87
38.743826,1,6
38.875475,6,149
39.061888,58,202
40.177190,3,49
40.660715,25,451
40.893817,2,106
41.219662,4,52
41.722202,86,470
41.900621,7,78
43.035603,6,37
44.076165,6,92
44.564795,17,338
46.205147,42,697
46.217758,4,77
48.665943,2,66
51.557810,6,246
51.672544,308,213
51.894798,4,193
52.261596,8,302
52.338912,238,3277
52.965320,2,34
53.124538,4,73
53.784023,6,123
54.290577,4,127
54.724739,17,300
54.838973,2,62
55.136984,1,8
56.150423,2,35
57.412838,2,54
57.495357,2,13
57.548955,2,56
57.894754,7,121
57.968362,19,533
59.205633,15,43
60.511557,8,132
61.396834,1,7
61.705847,11,672
61.780355,17,628
61.806925,8,38
62.577808,39,276
63.282592,1,39
63.534482,327,459
64.243415,32,77
64.814317,1,60
64.873282,21,701
65.065136,7,92
65.862062,134,2329
66.310276,8,246
67.505638,5,108
67.831271,10,1188
69.492064,1248,1084
70.599509,2,36
71.871678,31,479
72.523743,2,90
72.590589,9,75
72.820195,40,682
74.973913,1,60
75.173701,9,79
75.767999,6,240
77.255983,6,38
78.614402,371,658
79.663813,1,25
80.784763,8,53
81.681586,80,114
82.674319,16,90
83.068670,9,99
84.039053,1,8
84.436751,8,39
85.876427,48,1374
86.285563,37,959
87.281614,3,45
87.756326,34,80
87.834324,3,33
89.890880,503,281
90.198971,2,9
90.413169,12,64
90.468788,1,47
90.869685,4,125
91.237594,14,136
92.772983,46,107
93.674117,2,141
93.798277,53,516
94.137958,152,117
94.733169,2,132
96.469207,3,17
96.503286,6,28
96.789390,186,135
96.941510,3,41
97.465379,4,42
97.956104,8,63
98.824499,136,310
99.282061,10,47
99.874516,4,22
100.401995,3,95
100.496419,23,1189
100.676129,2,81
100.889111,3,81
104.501154,3,52
104.576193,11,247
104.688386,7,376
104.700374,19,434
105.161159,23,547
106.102513,1,75
106.961948,21,162
107.485375,15,399
108.025411,4,53
108.427837,1,75
108.918830,25,852
109.682512,4,113
112.771899,2,53
114.314764,4,22
115.471069,59,218
117.045368,4,166
117.137851,2,66
118.303428,4,60
120.000403,4,246
120.048131,28,136
120.302804,3,82
121.243542,12,415
121.445627,176,452
121.670336,2,86
122.672897,4,50
123.648679,9,85
123.724184,15,230
124.046491,6,51
124.382443,2,330
124.480709,5,86
124.695631,9,217
124.717494,18,140
124.938421,481,3277
125.330576,3,50
125.600057,5,341
126.612826,3,133
127.646699,10,217
128.198305,6,135
128.440610,63,672
128.468994,5,244
128.565333,4,603
129.551488,3,39
129.604158,3,65
129.632108,8,152
129.964223,11,1350
131.197620,11,99
131.952668,3,54
133.108196,4,52
133.399166,3,34
133.831664,5,138
134.186873,6,607
134.969533,7,116
135.326665,32,1108
136.187684,3,74
136.510413,3,179
136.784386,5,82
137.282024,3,115
137.444977,11,83
142.320839,34,46
142.791076,7,76
143.328634,7,257
143.850477,7,215
143.868160,5,235
144.444959,3,86
145.341603,16,131
145.819275,12,126
146.393138,41,428
146.877885,15,335
147.889643,25,644
148.201196,4,117
148.437671,39,162
148.822899,2,40
149.323276,9,152
149.726085,13,1511
150.149066,75,184
150.726066,3,19
150.743168,60,304
153.252934,671,2134
153.657194,2,46
154.177146,19,91
155.203059,40,391
155.588384,16,903
156.265576,14,129
158.572810,28,205
159.134653,2,74
160.286169,3,67
161.077636,3,64
161.472352,6,48
161.927983,43,403
162.060910,2,71
162.610997,9,197
163.025543,6,266
163.366111,6,83
163.503268,5,102
163.931397,7,67
165.445464,4,17
165.578733,34,238
166.071251,7,26
166.271665,40,557
166.528840,2,64
166.550947,32,471
167.889847,8,440
167.971512,28,493
168.463329,6,6
168.972990,93,638
169.624658,3,35
169.744663,6,19
170.780644,29,250
171.079739,10,106
171.462253,18,150
171.566294,1,31
171.705028,10,188
171.742609,6,128
171.744247,2,53
173.066452,4,2024
173.088535,4,47
173.487850,14,164
175.075412,2,81
175.501836,19,288
175.602910,3,61
177.248191,312,3277
178.089821,6,201
178.102492,78,75
179.113187,146,42
179.923474,6,122
181.139532,3,164
181.843101,1,9
181.995866,3,22
182.712585,25,1103
183.548518,21,134
184.631960,5,1999
184.969027,5,74
185.352866,18,63
185.856934,51,58
186.312529,2,45
186.698282,9,204
186.917289,24,55
187.029587,5,157
187.741452,529,310
188.763259,31,628
189.245038,53,1363
189.690719,20,1152
191.510829,2,41
192.298817,4,1
192.716293,10,67
193.066603,41,221
193.378852,224,210
193.943969,9,55
194.508893,112,1712
195.562131,44,1598
195.721558,10,87
196.799510,46,758
197.558644,22,705
197.838728,8,606
198.032846,2,73
198.784977,3,57
199.267972,3,47
199.379239,928,720
199.770302,2233,190
200.584631,2,42
201.381781,2,44
201.938623,8,88
202.721393,49,158
203.341633,7,48
203.895902,5,136
204.106268,32,637
204.946600,34,1147
205.413475,22,143
206.392649,50,218
207.148662,9,424
207.173015,2,80
207.566023,14,15
207.866152,2,56
208.080726,5,45
208.646163,3,63
208.835708,9,49
208.946684,9,120
209.059834,12,233
209.190631,3,72
209.733667,4,81
211.550544,21,218
211.808310,4,150
212.937642,43,93
213.067487,2,144
213.339679,15,116
214.461361,3,101
215.243902,56,504
216.044753,2,29
217.019316,10,694
218.873877,2,121
219.589124,6,176
219.685477,4,50
220.707907,7,163
221.628819,1,17
222.699160,97,460
222.931425,3,28
223.446027,7,277
223.495207,3,297
223.727762,4,75
224.112997,5,97
224.411140,4,18
225.459471,4,12
225.750604,14,312
228.637859,6,71
228.886566,7,61
229.353444,16,48
229.402105,33,145
229.951589,3,55
230.263213,3,213
232.678170,19,291
233.132056,13,88
233.180958,5,190
233.246155,3,92
233.301385,91,2204
233.553289,4,96
233.775917,3,50
235.972226,90,669
236.095190,33,132
236.778387,6,28
237.100662,6,103
237.812667,12,96
238.037675,7,517
238.077504,29,687
238.223179,3,90
238.495412,3,103
239.905151,35,962
240.688567,2,85
240.840447,14,9
241.222831,10,33
241.460655,2,103
241.475461,71,497
241.576040,1,23
242.388450,32,291
242.969205,3,96
243.279987,12,244
243.974137,25,196
245.101489,4,539
246.184669,29,39
246.274489,84,342
247.882567,13,88
247.996552,10,117
248.850042,17,66
248.919980,3,20
249.067978,5,681
249.942591,7,513
250.153055,6,95
250.355253,4,84
252.062865,2,137
252.172539,2,36
252.769407,6,205
253.925898,1,24
254.509455,6,10
254.841373,21,588
254.856209,19,213
255.594875,189,34
256.324817,2,80
256.874965,5,63
257.405075,7,138
258.177793,7,1062
258.278657,24,203
258.575501,6,327
259.976820,44,341
260.023153,6,125
261.987436,5,130
262.925713,4,70
263.201300,81,1645
263.629636,25,234
264.421338,3,7
264.474439,19,1004
264.955903,15,1705
265.582007,12,55
266.650967,12,103
267.823987,5,53
269.697543,18,93
270.186491,4,61
271.445314,5,46
271.637170,8,111
272.149847,9,125
272.816632,1,61
273.193244,8,211
273.774176,9,115
275.311115,15,133
276.007246,2,91
276.451401,3,102
277.900775,7,363
279.475384,3,65
280.022803,5,348
280.454193,163,793
281.554259,1,62
283.330008,5,95
283.694551,3,60
284.087955,8,234
285.248353,3,131
285.703500,2,59
286.175929,6,257
286.879911,4,192
286.974136,8,128
287.546840,11,38
287.610113,70,338
