arrive_time,input_tokens_length,output_tokens_length
0.345604,1,39
0.469643,17,405
0.701248,9,271
1.025459,1,33
1.884254,1,27
2.289145,3,35
2.403975,5,56
2.603534,26,371
3.908051,17,15
4.007203,6,112
4.557995,4,130
4.625874,30,673
4.703882,15,83
5.614500,91,1340
5.857469,4,80
6.120571,24,555
6.279468,12,121
6.468292,46,658
6.702454,3,71
6.803720,3,51
6.890109,8,121
7.506450,1,100
7.664028,3,77
7.913407,3,82
9.186338,139,1257
9.199113,9,103
9.322906,9,89
9.613439,5,95
10.432437,3,99
11.056064,2,34
11.915201,4,159
12.044720,4,134
12.358416,7,35
13.396608,4,76
14.123533,24,209
14.400378,82,702
14.436507,1,31
14.785684,3,165
14.792923,4,130
15.459000,4,21
16.534602,2,119
17.081626,5,345
17.208142,1,50
17.471676,3,65
17.761455,77,1015
17.933325,3,43
18.755237,25,459
18.926180,2,75
19.700299,3,97
20.017553,2,38
20.071389,3,112
20.939804,4,532
21.215865,2,149
21.257160,10,190
22.125560,56,1013
22.723758,10,269
22.852856,145,765
23.071346,96,778
24.071741,106,1829
24.238664,3,239
24.579391,14,456
25.217418,2,47
25.396805,4,67
26.186294,12,32
26.667421,2,53
26.988652,7,507
27.264830,18,158
28.010284,5,105
28.557364,1,61
28.816451,118,800
28.983212,21,148
29.175159,11,293
29.568546,6,62
29.579444,35,797
29.650126,169,2056
30.747668,2,97
31.359475,13,366
31.922710,2,139
32.233332,1,62
32.360314,2,81
32.720733,11,96
32.735346,75,480
33.013055,5,258
33.018595,3,189
33.206749,29,347
34.894193,6,641
35.051633,1,20
35.521784,32,829
35.727392,5,72
35.743244,1,19
35.745573,2,218
35.810390,23,87
35.911347,1,30
36.111922,127,590
36.224335,1,50
36.526373,3,32
37.128192,3,39
37.140211,2,61
37.199483,105,113
38.347288,3,95
38.863960,3,71
38.936814,11,303
38.967775,1,52
39.738516,721,3277
40.690591,21,729
40.988247,4,166
41.299134,18,235
41.334691,8,413
41.604852,6,158
41.927175,4,75
43.034586,7,499
43.110128,1,23
43.281210,15,523
43.539872,6,186
43.613458,3,39
44.229807,6,110
44.368642,52,1163
44.505530,2,41
45.132584,7,73
45.172114,2,39
45.484421,3,35
45.626544,30,345
45.829575,1,75
46.093446,1,69
46.618216,5,139
46.996918,2,56
47.414024,46,522
47.765222,690,2903
48.029658,2,180
48.817843,7,74
48.843303,72,277
49.281172,3,37
49.549606,8,264
49.629942,9,92
50.704370,332,64
51.476240,49,208
52.262822,4,65
52.426070,73,781
52.777826,2,113
53.258693,1,39
53.578436,53,386
53.978794,12,566
54.372689,2,10
54.602665,1,96
54.770400,4,68
54.938256,19,107
55.005763,11,159
55.700900,8,98
56.852118,89,2305
57.136613,303,2774
57.441340,3,44
59.447181,3,39
60.204303,8,48
60.793842,1,71
60.904249,17,294
61.514306,10,862
61.555882,9,263
61.653431,13,1313
61.972399,6,333
62.128641,226,1843
62.345054,427,3277
62.525093,24,206
62.984795,5,395
63.172447,53,166
63.401896,8,80
64.312388,16,25
65.101736,7,113
65.126851,15,133
65.249633,4,65
66.093663,57,94
66.108334,6,37
66.202214,10,69
66.586126,3,194
66.945862,13,258
67.195275,2,85
67.424955,4,201
67.894553,2,35
68.420919,8,314
69.084886,50,1257
69.361961,6,342
69.433393,7,66
69.791692,4,183
70.332130,4,34
71.737833,1,43
72.016610,18,383
72.189415,4,29
73.087522,151,2572
73.106515,2,216
73.292418,2,76
73.669178,9,214
73.808105,8,503
74.601905,53,276
74.984454,8,75
76.494570,5,201
76.733626,19,563
76.823387,98,309
77.651440,3,93
77.912858,8,70
78.534270,16,469
78.819737,50,180
78.874007,3,127
78.925781,3,89
79.086399,208,435
79.138361,86,850
79.168731,11,71
80.366496,15,433
80.468853,1,71
80.794347,6,209
80.807077,12,306
81.017202,10,6
81.120181,61,1720
81.340802,5,47
82.150580,28,159
82.311346,6,123
82.771669,5,74
82.899199,5,36
83.392847,12,1294
83.454145,2,12
83.933271,4,194
84.465710,5,43
84.484390,5,88
84.497834,3,121
84.898579,12,321
85.059917,4,73
85.857515,11,720
87.800181,6,119
88.110246,4,201
88.488657,2,18
88.617497,7,44
89.996959,17,477
90.379981,3,49
90.659068,3,54
90.913656,14,23
90.948981,32,71
91.396131,10,658
91.470054,2,75
91.549772,2,103
92.021596,12,716
92.049592,2,50
92.345586,6,225
92.701541,2,126
92.735212,2,45
92.860722,3,76
93.452775,2,23
93.785884,5,466
93.971459,10,424
94.066415,5,106
94.416757,4,82
94.581425,5,204
94.825866,11,143
95.256926,18,141
96.026985,2,48
97.595411,12,547
98.155778,2,90
98.598800,3,128
100.134485,24,95
100.270201,23,886
100.557633,2,30
100.814317,100,2171
101.223604,264,553
101.674517,2,58
102.932084,5,75
103.011108,2,67
103.331013,3,213
